forehead	noun	/ˈfɔːhed/	古英语 forheafod：fore（在前）+ heafod（头）← 原始日耳曼语 *haubudam（头）	the part of the face above the eyes and below the hair	体温枪往眉毛上边那块平地一贴，眉一挑，横纹叠起好几道	额头	The nurse pressed a thermometer to his forehead.|Sweat ran down her forehead into her eyes.	the flat field of the face above the eyes – 眼睛上方那块平地
friction	noun	/ˈfrɪkʃn/	拉丁语 frictionem ← fricare（摩擦、搓）	the force that slows things sliding against each other, or disagreement between people	两块木板对着搓了半分钟，接触面开始发烫，手掌也磨红了	摩擦/摩擦力/不和	Oil reduces friction between the parts.|There is friction between the two teams.	two surfaces pushing back where they touch – 两个面在接触处互相顶	摩擦：两个面贴着相搓的那个动作|摩擦力：相搓时互相顶回来的那股劲|不和：两方处久了互相顶，中文借这个词说人
fridge	noun	/frɪdʒ/	refrigerator 的缩读，受商标 Frigidaire 影响加了 d ← 拉丁语 frigus（寒冷）	a cold cupboard that keeps food fresh	门一拉开，白光和一股凉气同时出来，瓶身上挂着一层小水珠	冰箱	Put the milk in the fridge.|The fridge hums all through the night.	a cupboard kept colder than the room – 一个比屋里冷的柜子
friend	noun	/frend/	古英语 frēond（爱的人，frēogan「爱」的现在分词）← 原始日耳曼语 *frijōjan（爱、待为自己人），与 free 同源	someone you like and trust who is not family	他推门进来不用招呼，自己开冰箱拿水，鞋随手踢在门边	朋友/友人	She has been my friend for ten years.|He made two friends on the first day.	someone you need not put up a guard for – 不必对他设防的那个人	朋友：不必设防，来了随手就用你的东西|友人：同一种关系，书面里换成这个说法
friendly	adjective	/ˈfrendli/	古英语 frēondlīc：frēond（朋友）＋ -līc（像……的）	behaving in a kind and pleasant way towards others	前台那人抬头就笑，还伸手替他把箱子提过门槛	友好的/亲切的	The staff here are very friendly.|He gave me a friendly wave.	treating a stranger the way one treats one's own – 对外人也照自己人那样待	友好的：待人的姿态是善意的|亲切的：这份善意让对方觉得靠得近
fright	noun	/fraɪt/	古英语 fyrhto（恐惧）← 原始日耳曼语 *furhtaz（怕的）	a sudden strong feeling of fear	转角窜出一只猫，整个人往后弹了半步，手按在胸口喘	惊吓/害怕	The noise gave the child a fright.|She jumped back in fright.	the jolt fear gives in one instant – 怕在一瞬间给的那一下	惊吓：那一下被吓着的冲力|害怕：这股劲留在身上，久一点不散
fringe	noun	/frɪndʒ/	古法语 frenge ← 通俗拉丁语 *frimbia ← 拉丁语 fimbria（线须、布边）	the loose threads along an edge, hair over the forehead, or the outer part of something	桌布垂到腿边，末端散成一排线须，风一过一起晃	流苏/刘海/边缘	The shawl had a long silk fringe.|She sat on the fringe of the crowd.	the loose outer edge of a thing – 一样东西松散的最外沿	流苏：布料末端故意留出的一排线须|刘海：额前垂下来的那一片头发|边缘：不在中心、挨着最外那一圈的位置
frog	noun	/frɒɡ/	古英语 frogga ← 原始日耳曼语 *fruskaz（跳的那种小东西）	a small jumping animal with smooth skin that lives near water	荷叶上一坨绿的，眼睛鼓在头顶，脚一蹬就没了，水面只剩一圈波	青蛙	A frog jumped into the pond.|We heard frogs calling all evening.	the wet jumper that leaves only a ripple – 只留下一圈波纹的湿家伙
frost	noun / verb	/frɒst/	古英语 forst／frost ← 原始日耳曼语 *frustaz（冻），与 freeze 同源	a thin white layer of ice on cold surfaces, or weather cold enough to make it	清早车窗上一层白毛，指甲一刮就卷下来，草尖踩过去咯吱响	霜/霜冻/结霜	Frost covered the grass this morning.|The windows frosted over by dawn.	white ice grown on a cold surface – 冷面上自己长出来的白	霜：贴在表面上的那层白色冰晶|霜冻：这层白带来的低温，能把作物冻死|结霜：表面慢慢长出这层白的过程
frown	verb / noun	/fraʊn/	中古英语 frounen ← 古法语 froignier（皱起鼻子表示不快）← 高卢罗曼语 *frogna（鼻孔），更早词源不明	to bring your eyebrows together because you are annoyed or thinking hard	两道眉往中间挤，鼻梁上叠出一道竖纹，眼睛盯着账单不动	皱眉/不悦的表情	She frowned at the price on the tag.|He read the letter with a frown.	the face gathering itself in at the middle – 一张脸朝中间收紧	皱眉：眉头往中间收、鼻梁起竖纹的那个动作|不悦的表情：这张脸收紧后摆出来的那副样子
fruit	noun	/fruːt/	古法语 fruit ← 拉丁语 fructus（收成、享用之物）← frui（享用）	the part of a plant that holds seeds and is often sweet, or the result of work	枝子被压弯，掰开一个红皮的，籽落在手心，汁顺着手腕往下流	水果/果实/成果	He bought fruit at the market.|The report is the fruit of two years' work.	what a plant hands over at the end – 一株植物最后交出来的东西	水果：能直接吃的那种甜的|果实：植物长成、里头带籽的那部分|成果：一段功夫最后交出来的东西
fruitful	adjective	/ˈfruːtfʊl/	fruit（收成）＋ -ful（装满……的）	producing good results, or bearing a lot of fruit	一棵树压得枝条快挨地，摘满两筐还剩半树没动	富有成效的/多产的	The talks were fruitful on both sides.|This is a fruitful piece of land.	loaded with what it was meant to bring forth – 结满了它本该结的那些	富有成效的：花的功夫真换回了东西|多产的：出得多，一茬接一茬不断
fry	verb / noun	/fraɪ/	古法语 frire ← 拉丁语 frigere（烤、煎）	to cook food in hot oil or fat	油面起细泡，鸡蛋滑下去，边缘立刻卷起焦黄，油点蹦到手背	油炸/煎/炒	She fried two eggs for breakfast.|He fries fish in a deep pan.	cooking a thing by hot oil touching it – 靠热油贴着把东西弄熟	油炸：整个泡在热油里做熟|煎：油少，只把两面做出焦色|炒：油少火大，一边翻一边做熟
fuel	noun / verb	/ˈfjuːəl/	古法语 feuaile ← 通俗拉丁语 *focalia（可烧的东西）← 拉丁语 focus（炉膛、火塘）	material burned to give heat or power, or to make something worse	劈好的木条堆在炉边，添一根进去，火苗立刻高一截	燃料/燃油/加剧	The stove burns wood as fuel.|Low pay fuelled the workers' anger.	what you feed a fire to keep it up – 喂给火、让它继续起来的东西	燃料：烧了能出热或动力的东西|燃油：其中是液体的那一类|加剧：往一件正在闹的事里再添一把
full	adjective	/fʊl/	古英语 full（满的）← 原始日耳曼语 *fullaz（装满）	holding as much as possible, or having eaten enough	水倒到杯口，表面拱起来一层，再进一滴就要淌到桌上	满的/充满的/吃饱的	The bus was full by seven o'clock.|No more rice, I am full.	no room left inside for more – 里头再放不进一点	满的：装到边上，再进就要溢|充满的：里头处处都是那样东西|吃饱的：人肚里也到了这个位置
fume	noun / verb	/fjuːm/	古法语 fum ← 拉丁语 fumus（烟）	gas or smoke with a strong smell, or to be very angry	排气口对着人腿，一股呛的白气往上翻，闻两口就想咳	烟气/废气/发怒	Paint fumes filled the small room.|He sat fuming after the meeting.	something rising off a thing that is hot or spoiled – 从热的或坏的东西上往上冒的那股	烟气：看得见、闻得着的那股气|废气：机器烧完从管口排出来的那股|发怒：人心里那股压着往上冒，中文借它说气
fun	noun / adjective	/fʌn/	近代早期英语 fun（哄骗、逗弄）← 中古英语 fonnen（当傻瓜），更早词源不明	enjoyment, or something that gives enjoyment	一屋人围着桌子笑得直不起腰，没人看时间，茶都凉了	乐趣/好玩的	We had a lot of fun at the beach.|It is a fun game for children.	time that carries you along without effort – 一段不费力就被带着走的时间	乐趣：一件事让人愿意接着做下去的那份感觉|好玩的：这样东西本身能给出这份感觉
function	noun / verb	/ˈfʌŋkʃn/	拉丁语 functionem ← fungi（履行、担起）	the job a thing is designed to do, or to work properly	遥控器上每个键各管一件事，坏掉那个按下去屏幕毫无反应	功能/作用/运行/函数	Each key has its own function.|The lift is not functioning today.	the one job a thing was made to carry – 一样东西被造出来专管的那件事	功能：这样东西被设计来做的那件事|作用：它在整件事里起的那份效果|运行：它正照着这件事在做|函数：数学里由一个数定出另一个数的那种对应
funeral	noun	/ˈfjuːnərəl/	中世纪拉丁语 funeralia ← 拉丁语 funus（属格 funeris：送葬、死亡）	a ceremony held when someone has died	一队穿黑衣的人排成两行，八个人抬着木箱慢慢往门外走，风琴声压得很低	葬礼/丧事	The funeral is on Friday morning.|Hundreds came to his funeral.	the walk that sees a person out – 把一个人送出去的那趟路	葬礼：把遗体送走的那场仪式|丧事：家里因这件事要办的一整摊
funny	adjective	/ˈfʌni/	fun（逗弄）＋ -y，19 世纪起兼有「古怪的」义	making people laugh, or strange in a way you cannot explain	有人学老板走路的样子，后排的人笑到把水喷在桌上	好笑的/滑稽的/古怪的	His story was really funny.|There is a funny smell in here.	something that pulls a laugh out of you – 能把笑从人身上勾出来的东西	好笑的：让人当场笑出来|滑稽的：动作或样子本身就带着笑料|古怪的：说不上哪里不对，只觉得别扭
fur	noun	/fɜː/	古法语 forre／fuerre（鞘、衣服里衬）← 法兰克语 *fōdr（内衬）← 原始日耳曼语 *fōdram	the thick soft hair on an animal, or an animal skin used for clothing	手按在猫背上陷下去一层，抬起来指缝里夹着几根细软的	毛皮/皮毛/绒毛	The cat's fur was wet with rain.|She wore a coat lined with fur.	the soft layer an animal wears against the cold – 动物贴身穿着挡冷的那层软的	毛皮：连皮带毛整块取下来用的|皮毛：动物身上那一层本身|绒毛：其中最细最软的那部分
furious	adjective	/ˈfjʊəriəs/	古法语 furieus ← 拉丁语 furiosus ← furia（狂怒）← furere（发狂）	extremely angry, or very violent and fast	他一脚踹翻椅子，脖子上的筋跳出来，话已经说不成句	狂怒的/暴怒的/猛烈的	She was furious about the delay.|A furious wind tore the sail.	anger past the point of being held in – 怒到压不住，直接往外撞	狂怒的/暴怒的：人怒到收不住，同一股劲中文分了两个词|猛烈的：风雨或速度也这样不受控地往前撞
furnace	noun	/ˈfɜːnɪs/	古法语 fornaise ← 拉丁语 fornacem（fornax：烤炉、窑）← fornus（炉）	a closed space where fuel burns to make great heat	铁门一拉开，里面通红一片，隔着两米脸就发烫，铁块进去几分钟就软成一团	炉子/熔炉/锅炉	The furnace heats the whole building.|Steel is melted in a furnace.	a shut box holding a fire far hotter than open flame – 关起来的一格火，比明火烫得多	炉子：给房子或水供热的那个|熔炉：热到能把金属化开的那个|锅炉：把水烧成蒸汽的那个
furnish	verb	/ˈfɜːnɪʃ/	古法语 furniss-（fournir 的词干：供给、办成）← 法兰克语 *frumjan（提供、完成）← 原始日耳曼语 *fram-	to put furniture in a place, or to supply what is needed	空房间里陆续搬进床、桌、灯，每来一趟就少一处空着，最后连窗帘都挂上	布置家具/配备/提供	They furnished the flat in one weekend.|He furnished the police with a name.	filling in what a place is still missing – 把一处还缺的东西补进去	布置家具：往空屋里把家具一件件添上|配备：把该有的设备都装齐|提供：把对方缺的那样东西递过去
further	adverb / adjective / verb	/ˈfɜːðə/	古英语 furþor（更向前）← 原始日耳曼语 *furþera-（更前的），是 forth 的比较级	at a greater distance, to a greater degree, or to help something advance	走过了路牌指的那个点，脚还往前迈，回头看车已经缩成一个小点	更远/进一步/额外的/促进	We walked further than we planned.|This will further his career greatly.	past the point already reached – 越过已经到达的那个点	更远：位置上比原先那个点还往外|进一步：程度上比原先又深一层|额外的：在原有那些之上再多出来的|促进：推着一件事越过它现在的位置
future	noun / adjective	/ˈfjuːtʃə/	古法语 futur ← 拉丁语 futurus（将要存在的，esse 的将来分词），词干出自原始印欧语 *bhuH-（生长、成为）	the time that has not come yet	日历翻到后面几页全是空白，笔悬在上面不知道往哪一格写	未来/将来/前途	No one knows what the future holds.|She is training for a future job.	time not yet arrived – 还没到跟前的那段时间	未来/将来：说话这一刻之后还没发生的那段，中文两个词基本同义|前途：一个人往后能走到哪一步
gain	verb / noun	/ɡeɪn/	古法语 gaaignier（打到猎物、挣得）← 法兰克语 *waidanjan（打猎、放牧）← 原始日耳曼语 *waiþō（猎场）	to get something useful, or an increase in something	出门时口袋是平的，回来鼓起一块，秤上的数也比早上多	获得/增加/收益	He gained a place at the university.|She gained two kilos over winter.	coming back with more than you went out with – 回来时比出去时多	获得：把原先没有的一样东西弄到手|增加：同一样东西的数量往上走|收益：多出来的那一部分本身
galaxy	noun	/ˈɡæləksi/	晚期拉丁语 galaxias ← 希腊语 galaxias（乳白的那条带）← gala（奶）	a very large group of stars held together by gravity	山顶上看那条淡白的带子横过天空，越看越像无数小点挤在一起	星系/银河系/一群杰出人物	Our galaxy contains billions of stars.|A galaxy of writers signed the letter.	countless points of light packed into one band – 数不清的光点挤成一条	星系：靠引力聚成一大团的恒星|银河系：我们自己所在的那一团|一群杰出人物：一批出色的人聚在一处，也这样密而亮
gallery	noun	/ˈɡæləri/	中世纪拉丁语 galeria（有顶的长廊），更早词源不明	a long room or building where art is shown, or the upper seats in a theatre	一条长屋子只开侧窗，白墙上一幅接一幅挂着画，脚步声在里头空响	画廊/美术馆/长廊/看台	The gallery opens at ten each day.|We sat in the gallery above the stage.	a long room lined with things to look at – 一条两壁排满可看之物的长屋	画廊：挂画出售或展示的那种长屋|美术馆：规模更大、专门收藏展出的那种|长廊：只是这样一条有顶的长通道|看台：剧场里高处那一排排座位
gallon	noun	/ˈɡælən/	古北法语 galon ← 中世纪拉丁语 galleta（罐、液量单位），更早词源不明	a unit for measuring liquid, about 4.5 litres in Britain	提一个塑料大壶装满水，走两步就砸一下腿，换手换了三回	加仑	The car uses a gallon every twenty miles.|She bought two gallons of paint.	one jug's worth of liquid – 一壶的量
gallop	verb / noun	/ˈɡæləp/	古法语 galoper ← 法兰克语 *wala hlaupan（跑得好）← 原始日耳曼语 *hlaupan（跑、跳），与 leap 同源	to run very fast, especially of a horse at top speed	四条腿几乎同时离地，蹄声连成一串，草屑往身后飞	疾驰/飞奔	The horse galloped across the field.|He set off at a gallop.	all four feet leaving the ground at once – 四只脚同时离地的那种走法	疾驰：马跑到最快，脚几乎不沾地|飞奔：人或别的动物也这样跑，说法更口语
gamble	verb / noun	/ˈɡæmbl/	中古英语 gamenen（玩、赌）← 古英语 gamenian（玩耍）← 原始日耳曼语 *gamanan（一起玩）	to risk money on an uncertain result, or a risky action	钱推到桌子中间，牌还盖着，谁也不知道翻开是什么	赌博/打赌/冒险之举	He gambled away his month's pay.|Buying that shop was a gamble.	money pushed out before anything is shown – 东西还没揭开，钱先推出去	赌博：拿钱押在还不知道的结果上|打赌：规模小些，两人就一件事押一次|冒险之举：不涉钱，但也是先押上再看结果
game	noun	/ɡeɪm/	古英语 gamen（乐趣、玩耍）← 原始日耳曼语 *gamanan（共同参与）	an activity with rules played for enjoyment, or wild animals hunted for food	四个人先把规矩讲定，然后按顺序出牌，谁越了那条规矩就被叫住	游戏/比赛/猎物	The children played a game in the yard.|This forest is full of game.	play fenced in by agreed rules – 用商量好的规矩把玩乐圈起来	游戏：为了好玩、按规矩来的那种活动|比赛：同一套规矩下比谁赢|猎物：打猎这项活动，以及打到的那些野物
gang	noun	/ɡæŋ/	古英语 gang（走、一趟路）← 原始日耳曼语 *gangaz（行走），本指「一同走的人」	a group of people who move about or work together	巷口过来八九个人，肩挨着肩，脚步声齐得像一个人在走，旁人都靠边	一帮人/团伙/一队工人	A gang of boys ran past the shop.|A gang of workers repaired the road.	people who move and show up as one body – 一群人当一个整体在动	一帮人：凑在一起、总一块出现的那几个|团伙：专做坏事的那种一帮人|一队工人：编在一起干同一件活的那伙
gap	noun	/ɡæp/	古斯堪的纳维亚语 gap（豁口、张开的空处）← 原始日耳曼语 *gap-（张开），与 gape 同源	an empty space between things, or a difference between them	篱笆少了两根桩，中间空出一块，羊从那里挤出去了	缺口/空隙/差距	Sheep escaped through a gap in the fence.|There is a wide gap between the two teams.	an opening where something should be joined – 本该连上的地方开着口	缺口：本该连上的地方少了一块|空隙：两样东西之间留出的那点空处|差距：两边水平之间空着的那一截
garage	noun	/ˈɡærɑːʒ/	法语 garage ← garer（把车收起来护好）← 法兰克语 *warōn（看守、护着）← 原始日耳曼语 *war-，与 ward 同源	a building where a car is kept or repaired	水泥地上一片旧油渍，卷帘门拉下来，车头正对着一排挂在墙上的扳手	车库/修车厂	He parked the car in the garage.|The garage fixed my brakes today.	a shed that takes a vehicle in out of harm – 把车收进来护住的一间棚屋	车库：自家停车、门一拉就锁住的那间|修车厂：替别人的车动手修的那家
garbage	noun	/ˈɡɑːbɪdʒ/	盎格鲁法语 garbage（禽类内脏、下脚料），更早词源不明	waste material that is thrown away, or something worthless	厨房那只桶没盖，果皮和鱼杂堆到边上，招来一圈小虫	垃圾/废物/废话	Take the garbage out tonight.|That report is complete garbage.	what is left over after the useful part is taken – 有用的取走后剩下的那些	垃圾：扫出来扔掉的那些东西|废物：留着也没用、只占地方的东西|废话：话里没有可用的内容，跟这些一样被扔
garlic	noun	/ˈɡɑːlɪk/	古英语 gārlēac：gār（矛）+ lēac（韭葱），叶片细长如矛尖 ← 原始日耳曼语	a strong-smelling bulb made up of several small sections, used in cooking	一整头掰开成十几小瓣，每瓣裹层薄皮，切开后气味冲得眼睛发酸	大蒜	Add two cloves of garlic to the pan.|The whole kitchen smelled of garlic.	a bulb that splits into many pungent cloves – 一头能掰成许多辛辣小瓣的鳞茎
garment	noun	/ˈɡɑːmənt/	中古英语 garnement ← 古法语 garnement（衣着、行头）← garnir（备齐、装点）← 法兰克语 *warnjan（提防、备办）	a single piece of clothing	裁缝把一件成品从架上取下，抖开抖平，领口袖口都已缝完，等着装袋	衣服/服装	She wore a plain black garment.|Each garment is checked before it is packed.	one finished piece made to be worn – 做完了、可以直接穿上身的一件	衣服：一件件单独算的穿用之物|服装：把这些东西合起来当一类看，偏正式与行业用语
gas	noun	/ɡæs/	1650 年代经荷兰语入英语，是化学家 van Helmont 依希腊语 khaos（未成形的虚空）新造的词	a substance that is neither solid nor liquid and spreads to fill any space	拧开阀门听见嘶嘶声，眼前什么都看不见，划根火柴却轰一下窜起蓝火	气体/煤气/汽油	Oxygen is a gas at room temperature.|Turn off the gas before you leave.	matter with no shape of its own, filling whatever holds it – 自己没有形状、把容器填满的那种东西	气体：不固不流、能散满整个空间的那一类物质|煤气：管道里送来烧火用的那种，家家都接|汽油：美式口语里给车加的那种液体燃料，由 gasoline 截短而来
gasoline	noun	/ˈɡæsəliːn/	1860 年代英语自造：gas（气）加 -ol（油）与化学后缀 -ine	the liquid fuel burned in most car engines	枪口插进车侧的小口，数字一格格跳，风一吹那股味呛得人偏过头去	汽油	The car ran out of gasoline on the highway.|Gasoline prices rose again this month.	the light liquid fuel that cars burn – 汽车烧的那种轻质液体燃料
gasp	verb / noun	/ɡɑːsp/	中古英语 gaspen（张大嘴吸气）← 古诺尔斯语 geispa（打呵欠），与 gapa（张口）同支	to take in a sudden short breath because of shock, pain or lack of air	冲出水面那一下嘴张到最大，肩膀猛地一抬，声音又粗又短	喘气/吸气/惊呼	He gasped when he saw the bill.|She came up gasping for air.	one sharp pull of breath forced out of you – 被逼出来的猛然一吸	喘气：气不够用，一口接一口地抢|吸气：猛地把气往里拽的那一下动作|惊呼：吓一跳时先抽的那口气，成了出声的反应
gate	noun	/ɡeɪt/	古英语 geat（开口、门道，复数 gatu）← 原始日耳曼语 *gatan（洞、通口）	a movable barrier that closes an opening in a wall or fence	围墙上留出一道缺口，装一扇铁栅，推开吱一声，锁链在柱子上晃	大门/闸门/登机口	He locked the gate behind him.|Passengers should go to gate twelve.	the one opening left in a barrier, with a swing panel on it – 墙上专留的那道口子，配一扇能开合的板	大门：围墙上那道能进出的口，装了扇门|闸门：河渠上同样一道能开合的口，拦的是水|登机口：机场里同样一道口，过去了就上飞机
gather	verb	/ˈɡæðə/	古英语 gadrian / gædrian（聚拢、集合）← 原始日耳曼语 *gaduron（使聚到一处）	to bring things or people together into one place	落了一地的核桃，她弯腰一颗颗捡进围裙兜里，兜口越来越沉	收集/聚集/推断	They gathered wood for the fire.|A crowd gathered outside the shop.	bringing scattered things into one heap – 把散开的东西归到一处	收集：散着的东西一件件拿到手里，攒成一堆|聚集：人自己往一处凑，越凑越多|推断：把零碎的话和迹象拢到一起，得出一个意思
gauge	verb / noun	/ɡeɪdʒ/	古北法语 gauger（校准、量准）← 名词 gauge（量杆），更早词源不明，或出法兰克语一支	to measure something exactly, or an instrument that shows a measurement	一根刻着格的铁杆插进桶里，抽出来看湿到第几道线	测量/估计/仪表	He gauged the depth of the water with a stick.|The fuel gauge showed almost empty.	laying a marked standard against a thing to read it off – 拿带刻度的标准去比出读数	测量：把带刻度的东西贴上去，读出准数|估计：手边没刻度，凭经验比个大概|仪表：替你读数的那个带刻度的小盘
gay	adjective	/ɡeɪ/	古法语 gai（欢快的、鲜亮的），更早词源有争议，一说出法兰克语 *gāhi（快、急）	cheerful and brightly coloured, and now chiefly meaning homosexual	一群人围着桌子笑闹，桌布是大红大黄的格子，灯串挂了满墙	快乐的/鲜艳的/同性恋的	The room was full of gay laughter.|He came out as gay last year.	brightness that shows on the outside – 外面看得见的那种亮和轻快	快乐的：神色和动静都轻快，藏不住|鲜艳的：颜色亮得跳出来，同一种亮|同性恋的：20 世纪后期起成为主要用法，由圈内自称转为通称
