overtake	中古英语 overtaken，替换了更早的 overnimen ← 古英语 oferniman（突然逮住），由 over ＋ take 构成	to catch up with and pass someone ahead	超过/赶上	A lorry overtook us on the hill.|China overtook them in total output.	to come up level and then get past – 追平之后再越到前面	超过：越到前面去|赶上：追到与之并齐	后面的车驶到并排位置，随后驶到前方	/ˌəʊvəˈteɪk/
overthrow	中古英语 overthrowen，由 over ＋ throw 构成	to remove a ruler or government by force	推翻/颠覆	Rebels overthrew the government within a week.|The regime was overthrown that same winter.	to throw something over from its position – 把立着的东西掀倒	推翻：把当权者从位置上掀下来|颠覆：从根本上把既有秩序掀翻	广场上的立像被绳索拉倒，底座空了出来	/ˌəʊvəˈθrəʊ/
overtime	由 over- ＋ time 构成	extra hours worked beyond the normal schedule	加班/超时	He worked overtime three nights this week.|Overtime pay was added to her wages.	hours running beyond the set time – 超出规定时段的那部分时间	加班：在规定时段之外继续做|超时：越过了限定的时长	办公楼只剩一间亮灯，墙上钟已过下班点两小时	
overturn	中古英语 overturnen，由 over ＋ turn 构成	to turn something upside down, or to reverse a decision	翻转/撤销	The boat overturned in rough water.|A higher court overturned the earlier ruling.	to turn something over from its position – 把原来的朝向整个翻过来	翻转：把物体上下颠倒过来|撤销：把先前的决定整个翻掉	小船底朝上浮在水面，桨浮在旁边	/ˌəʊvəˈtɜːn/
overwhelm	中古英语 overwhelmen，由 over ＋ whelm 构成	to affect someone so strongly that they cannot cope	压倒/使不知所措	The team was overwhelmed by the news.|Requests overwhelmed the small support desk.	to cover something completely by force – 整个盖住、压过去	压倒：力量上完全盖过对方|使不知所措：多到让人应付不来	巨浪从头顶盖下来，小船整个没进水里	
overwhelming	由 overwhelm ＋ -ing 构成	so great that it cannot be resisted	压倒性的/难以抗拒的	The proposal passed by an overwhelming majority.|She felt an overwhelming urge to leave.	too great in force to be resisted – 力量大到无法抵挡	压倒性的：数量或力量上完全占优|难以抗拒的：强到让人挡不住	计票板上一侧的条几乎填满整栏，另一侧只剩一小截	
own	古英语 āgen（自己的），本为 āgan 的过去分词 ← 原始日耳曼语 *aiganaz ← 原始印欧语 *h₂eyḱ-（持有）	to have something as a possession	拥有/自己的	They own two small shops in town.|She wrote the letter in her own hand.	holding something as what belongs to oneself – 把某物作为自身所属持有	拥有：某物归自己所有|自己的：属于本人而非他人的	房产证上写着一个名字，钥匙就在那人手里	
paddle	中古英语 padell（小铲）← 中世纪拉丁语 padela，更早词源不明；另一支「拍水」义 16 世纪起见于记载	a short oar used with both hands, or to move a boat with it	桨/划水	He dipped the paddle into the water.|They paddled across the lake at dawn.	a short blade pushed through water – 在水里推动的短叶片	桨：手持的短柄板叶|划水：用它推水使船前行	双手握着一根短柄板叶，交替在水里向后推	
page	借自中古法语 page ← 拉丁语 pāgina（书页）；另有「侍童」一义 ← 古法语 page，或经意大利语 paggio ← 中世纪拉丁语 pagius（仆人）	one side of a sheet in a book or magazine	页/网页	Turn to page ninety in your book.|The page loaded slowly on my phone.	one sheet face in a bound set – 装订成册中的一个纸面	页：书刊里的一个纸面|网页：屏幕上相当于一页的一屏内容	手指捏住纸的右下角，抬起后露出下面一张	
palace	中古英语 paleys ← 古法语 palais ← 拉丁语 palātium，得名于罗马七丘之一的帕拉丁丘，共和国贵族与后来的皇帝在那里营建华宅	a large grand house where a ruler lives	宫殿	Tourists queued outside the royal palace.|The palace gates opened at nine.	the grand residence of a ruler – 统治者的宏大居所		石阶尽头是高大列柱与镀金门扇，卫兵分立两侧	
pamphlet	中古英语 pamflet／pamphilet ← 中古法语 Pamphilet，是 12 世纪拉丁语情诗 Pamphilus, seu de amore 的俗称；该诗以薄册广为流传，遂以此名指称整类薄册	a small thin book giving information or arguing a case	小册子	Volunteers handed out pamphlets outside the station.|The pamphlet explained the new rules clearly.	a thin unbound booklet for spreading a message – 用来散发主张的薄册子		几十张薄纸对折订在一起，有人在路口一张张递给过路人	
panorama	由 pan-（全）＋ 希腊语 horama（所见景象）构成，1792 年由画家 Robert Barker 造出	a wide unbroken view of a large area	全景	The hilltop offers a stunning panorama.|A panorama of the city covered one wall.	everything visible in one sweep – 一眼扫过所能见的全部		站在山脊上转身一周，四面的山谷连成不断的一条	
parachute	借自法语 parachute，由 para-（防）＋ chute（下落）构成	a large piece of cloth that slows a fall through the air	降落伞	His parachute opened just above the trees.|They packed each parachute with great care.	cloth spread to check a fall – 张开布面拦住下落		一大片圆形布面在空中张满，下方吊着一个人缓缓下沉	
paradigm	中古英语 paradygme ← 晚期拉丁语 paradīgma ← 希腊语 paradeigma（示范、样式），由 para-（旁）＋ deiknumi（指示）构成	a typical example or pattern that others follow	范例/范式	This case became a paradigm for later studies.|The discovery shifted the whole paradigm.	a pattern held up beside others to copy – 摆在旁边供比照的样式	范例：拿来当榜样的那一个|范式：一整套通行的做法框架	墙上挂着一张标准样张，下面几张都照它的格式排	
paradox	借自中古法语 paradoxe ← 拉丁语 paradoxum ← 希腊语 paradoxos（出乎意料的），由 para-（背离）＋ doxa（公认看法）构成	a statement that seems to contradict itself yet may be true	悖论/矛盾之说	The result presents an interesting paradox.|He enjoyed pointing out this old paradox.	a claim running against accepted sense – 与公认道理相抵的说法	悖论：自身推出相反结论的论断|矛盾之说：听着说不通却未必错的说法	一张纸上两行字各自成立，却指向相反的结论	
parallel	借自中古法语 parallèle 与拉丁语 parallēlus ← 希腊语 parallēlos，由 para-（旁）＋ allēlos（彼此）构成	running side by side at a constant distance	平行的/类似的	The two roads run parallel for miles.|Their careers followed parallel paths.	side by side without ever meeting – 并排延伸而永不相交	平行的：两线间距不变永不相交|类似的：两事走势彼此对应	铁轨两条钢条一直向远处延伸，间距始终不变	
paralyze	部分借自法语 paralyser，部分由 paralysie ＋ -ize 在英语内部构成；paralysie ← 古法语 ← 希腊语 paralusis（一侧松脱）	to make someone unable to move, or to bring activity to a stop	使瘫痪/使停顿	The injury paralyzed his left arm.|A strike paralyzed the city transport system.	to take away the power to move – 使失去活动能力	使瘫痪：让身体失去活动能力|使停顿：让运转中的事整个停住	电闸一拉，整条流水线的机械同时停住不动	
parasite	中古法语 parasite ← 拉丁语 parasitus ← 希腊语 parasitos（在别人桌边吃饭的人），由 para-（旁）＋ sitos（食物）构成	an organism that lives on another and takes its food	寄生虫/寄生物	The parasite weakens its host over time.|Doctors treated the patient for intestinal parasites.	a feeder living beside its host – 靠在宿主旁边取食的生物	寄生虫：附在他体上取食的动物|寄生物：泛指靠他体存活的生物	细小生物附在叶片背面，从叶脉里抽取汁液	
parcel	中古英语 parcel ← 古法语 parcelle（小块、小部分）← 晚期拉丁语 particella，为拉丁语 particula（小粒）的指小形，更上一层是 pars（部分）	something wrapped in paper for sending or carrying	包裹/小块	The parcel arrived two days late.|She signed for a heavy parcel.	a small part wrapped up as one – 包成一件的小块东西	包裹：包扎起来待寄送的一件|小块：从整体分出的一小部分	牛皮纸裹住方形物件，四角用麻绳十字捆牢	
parent	中古英语 parent ← 盎格鲁诺曼语与中古法语 parent ← 拉丁语 parēns（生育者），为 parere（生育）的现在分词	a mother or father of a child	父母/亲代	Both parents attended the school meeting.|Each parent received a printed report.	the one who brings forth offspring – 生出下一代的那一方	父母：生育并养育子女的人|亲代：生物学上产生下一代的那一代	成年人牵着孩子的手走在前面，孩子仰头看他	
