garlic	noun	/ˈɡɑːlɪk/	古英语 gārlēac：gār（矛）+ lēac（韭葱），叶片细长如矛尖 ← 原始日耳曼语	a strong-smelling bulb made up of several small sections, used in cooking	一整头掰开成十几小瓣，每瓣裹层薄皮，切开后气味冲得眼睛发酸	大蒜	Add two cloves of garlic to the pan.|The whole kitchen smelled of garlic.	a bulb that splits into many pungent cloves – 一头能掰成许多辛辣小瓣的鳞茎
gold	noun	/ɡəʊld/	古英语 gold ← 原始日耳曼语 *gulþam（黄亮的金属）	a heavy yellow metal of high value	一小块压在手心里沉得意外，颜色不刺眼却一直亮，放了多年也不生锈	金/黄金/金牌	The ring is made of pure gold.|She won gold in the long jump.	the heavy yellow metal that never dulls – 又沉又黄、永不失色的那种金属	金：这种金属本身，化学上单指它|黄金：强调成色与价值时的常用说法|金牌：用它做面的第一名奖牌
golden	adjective	/ˈɡəʊldən/	由 gold 加 -en 构成，取代古英语 gylden	having the bright yellow colour of gold, or excellent	傍晚的麦地整片泛黄发亮，风一过像水面在动	金色的/金黄的/极好的	The fields turned golden in the evening.|This is a golden chance for you.	carrying gold's colour or gold's worth – 带着金子的颜色或金子的分量	金色的：颜色像那种金属，亮而不刺|金黄的：偏黄那一头的同一种亮|极好的：像金子一样值当，机会、年代都这么说
golf	noun	/ɡɒlf/	15 世纪苏格兰语 gouf，一般认为出中古荷兰语 colf / colve（棍、棒），此说未有定论	a game in which players hit a small ball into holes with clubs	草坡上一个人挥杆，白点飞很远落进草里，远处插着一根带旗的杆	高尔夫/高尔夫球	They play golf every Sunday morning.|He took up golf after retiring.	driving a small ball across open ground into a hole – 在开阔地上把小球一杆杆送进洞	高尔夫：这项运动本身|高尔夫球：既指这项运动，也指用的那颗小球
good	adjective	/ɡʊd/	古英语 gōd（优良的、合用的）← 原始日耳曼语 *gōdaz（合适、相配）	of high quality, or pleasant, or morally right	买回来的刀切了两年还快，握着也顺手，家里人都爱用它	好的/优秀的/善良的/擅长的	This is a good knife for the price.|She has always been good to me.	fitting its purpose well – 拿来用正合适	好的：合用、称心，最泛的一层|优秀的：在同类里明显合用得多|善良的：待人这一面上合乎该有的样子|擅长的：人对某事正合适，做得来
goodby	noun / interjection	/ˌɡʊdˈbaɪ/	由 God be with ye（愿神与你同在）缩合，16 世纪作 godbwye，后受 good day、good evening 影响改作 good-	a word said when leaving someone	站台上两人握完手，一个上了车，另一个在窗外抬手停了几秒	再见/告别	She said goodby and closed the door.|They waved goodby at the station.	the word left behind at parting – 分开时留下的那一句	再见：当面说出口的那句话|告别：整个分开的动作与场面，也用作名词
goodness	noun	/ˈɡʊdnəs/	古英语 gōdnes：gōd（好）+ -nes（表性质）	the quality of being kind and morally right	邻居把熬好的汤端过来放门口就走，谁也没提要回报的事	善良/优良/精华	She showed great goodness to strangers.|Boiling too long removes the goodness.	the good in a thing, taken as a quality – 把好单拎出来当一样东西看	善良：人身上那份待人厚道的品性|优良：物或事达到的那份好|精华：食物里最养人的那一份好东西
goods	noun	/ɡʊdz/	good（好东西）的复数，中古英语起指财物、可买卖之物	things that are made to be sold, or things a person owns	仓库里一箱箱码到顶，每箱贴着单子，叉车正把最外一排搬上车	商品/货物/财物	The shop sells household goods.|The goods arrived two days late.	things held or moved because they are worth having – 因为值钱而被人存着、运着的东西	商品：摆出来卖的那批东西|货物：正在运送、装卸的那批，同一批东西的另一面|财物：归某人所有的那些值钱东西
goose	noun	/ɡuːs/	古英语 gōs ← 原始日耳曼语 *gans-，拟其叫声	a large water bird with a long neck, larger than a duck	池边一只脖子很长的白鸟张嘴嘶叫，扇着翅膀追人，孩子往后跑	鹅/雁	A goose hissed at the children.|They roast a goose at Christmas.	the long-necked water bird that hisses – 脖子长、会嘶叫的那种水鸟	鹅：养在家里的那种，个大脖长|雁：同一类里野生迁飞的那支
gorgeous	adjective	/ˈɡɔːdʒəs/	借自古法语 gorgias（时髦华美的），更早词源不明；一说与 gorge（喉、颈饰）有关	extremely beautiful or very pleasant	她一进门所有人都停了一下，那身裙子的料子在灯下一层层反光	华丽的/美极了的/极好的	She looked gorgeous in that dress.|We had gorgeous weather all week.	good-looking to the point of stopping people – 好看到让人停一下	华丽的：本义偏衣饰讲究、看着贵气|美极了的：转来夸人夸物，程度顶高|极好的：连天气、饭菜也这么夸，只表太棒
gossip	noun / verb	/ˈɡɒsɪp/	古英语 godsibb（教父母）：god（神）+ sibb（亲属），本指受洗的见证人，后转指闲谈的熟人	talk about other people's private lives, often unkind or untrue	两个人在楼道压低声音说第三个人的事，见有人来就换话题	闲话/流言/说闲话	She spreads gossip about everyone.|They gossiped about the new manager.	private talk about someone not present – 背着当事人说他的私事	闲话：说出来的那些没根据的私事|流言：这些话传开之后自己长脚跑|说闲话：动词用法，指做这件事本身
gown	noun	/ɡaʊn/	古法语 goune（长袍、修女服）← 晚期拉丁语 gunna（皮毛衣物），更早词源不明	a long loose dress worn on formal occasions	一件长到脚踝的衣裳挂在门后，下摆宽得能扫到地，肩上一条缎带	长袍/礼服/女礼服	She wore a long white gown.|The judges appeared in black gowns.	one long loose piece falling to the feet – 一件宽松直落到脚的长衣	长袍：法官、学者穿的那种直落的宽衣|礼服：正式场合专穿的那一件|女礼服：其中女式那种，多长及地
grab	verb / noun	/ɡræb/	中古低地德语、中古荷兰语 grabben（一把抓住）← 原始日耳曼语 *grab-	to take hold of something suddenly and roughly	杯子刚往桌边倒，他手一伸就攥住了杯身，水只溅出一点	抓住/抢/抓紧机会	He grabbed my arm and pulled me back.|She grabbed a sandwich and ran.	hand closing on a thing all at once – 手一下合上，东西就在手里	抓住：手忽然合住，动作快而不讲究|抢：别人也要，一把先夺过来|抓紧机会：机会像杯子往下掉，得赶紧一把接住
grain	noun	/ɡreɪn/	古法语 grain ← 拉丁语 granum（谷粒、籽）	the seeds of food plants, or a very small hard piece of something	手插进麻袋里，硬硬的小颗从指缝漏下去，掉在木板上一片沙沙响	谷物/颗粒/纹理	The farmers stored the grain for winter.|You can see the grain of the wood.	one small hard seed, and things sized like it – 一粒小而硬的籽，以及同样大小的东西	谷物：这类小硬籽合起来的粮食|颗粒：沙、盐等同样大小的一粒粒|纹理：木头里一道道细线，像这些小粒排出来的走向
grand	adjective	/ɡrænd/	古法语 grant ← 拉丁语 grandis（大的、庄重的）	large and impressive in a formal, dignified way	门厅里一段石阶铺开二十级宽，顶上吊灯一层层垂下来，说话都有回声	宏大的/壮丽的/隆重的	They live in a grand old house.|The opening was a grand occasion.	big in a way meant to impress – 大得有意让人肃然	宏大的：尺寸和气派都往大处做|壮丽的：这种大落在景物上，看着震住人|隆重的：场面按这个规格摆出来，郑重其事
grape	noun	/ɡreɪp/	古法语 grape（一串葡萄）← 动词 graper（用钩采摘）← 法兰克语一支日耳曼语 *krappon（钩）	a small round juicy fruit growing in bunches on a vine	藤下垂着一串，颗颗挨紧，捏一下皮就破，汁把手指弄黏	葡萄	These grapes are sweet and seedless.|Wine is made from grapes.	small round fruit hanging packed in a bunch – 挤成一串垂着的小圆果
grasp	verb / noun	/ɡrɑːsp/	中古英语 graspen，或由 grapsen 换位而来 ← 古英语 *græpsan（触、摸）← 原始日耳曼语 *grap-；古英语 grapian（摸索）同支	to take and hold something firmly, or to understand something fully	绳子从悬崖边垂下来，他五指扣紧，整个人的重量都吊在这一握上	抓紧/握住/领会	He grasped the rope with both hands.|She quickly grasped what he meant.	fingers closing hard enough to hold everything – 手指扣到能承住全部重量	抓紧：不只碰到，还使上劲不放|握住：手完全合上，东西被固定在掌中|领会：意思像绳子一样被牢牢抓在手上，不再滑走
grass	noun	/ɡrɑːs/	古英语 græs（草、草本植物）← 原始日耳曼语 *grasan，与 grow、green 同源	a common low green plant that covers fields and lawns	光脚踩下去一片扎脚的绿，刚割过，断口还渗出汁，味道很生	草/草地/草坪	The children played on the grass.|He cut the grass every Saturday.	the low green cover that grows back after cutting – 铺在地上、割了又长的那层绿	草：这种细茎绿叶的植物本身|草地：它连成一片盖住的那块地|草坪：人修剪整齐、专供踩坐的那一块
graze	verb	/ɡreɪz/	古英语 grasian（吃草）← græs（草）；擦过一义 17 世纪起，或由贴地啃到根转来	to eat grass in a field, or to touch something lightly in passing	牛群低着头在坡上一步步挪，嘴贴着地啃，啃过的地方短了一截	放牧/吃草/擦过	The sheep grazed on the hillside.|The bullet grazed his shoulder.	mouth or edge skimming right along the surface – 嘴或边贴着表面掠过去	放牧：把牲口放到草上去，让它自己啃|吃草：牲口低头啃的那个动作本身|擦过：像啃到贴地那样，贴着表面掠一下就走
grease	noun / verb	/ɡriːs/	盎格鲁法语 grece、古法语 craisse（油脂，今法语 graisse）← 通俗拉丁语 *crassia（融出的动物油）← 拉丁语 crassus（厚、肥）	thick oily matter, especially melted animal fat	锅底凝着一层白油，抹布擦过只留下一道亮痕，手指一碰就滑	油脂/润滑油/涂油	The pan was covered in thick grease.|Grease the tin before you bake.	fat thick enough to coat and make slippery – 稠到能糊住表面、还打滑的油	油脂：动物身上熬出来的那种稠油|润滑油：抹在机件上让它不涩的那种|涂油：动词用法，把这种油抹到表面上去
great	adjective	/ɡreɪt/	古英语 grēat（粗大的、厚的）← 原始日耳曼语 *grautaz（粗颗的、粗大的）	very large in size or amount, or unusually good and important	门口那棵树四个人手拉手才围住，树荫盖住半个院子	大的/伟大的/极好的	A great crowd waited outside.|She was a great scientist.	far past ordinary size or worth – 尺寸或分量远超一般	大的：本义，个头或数量都超出常规|伟大的：分量上的大，人和事业这么说|极好的：口语里表示好得超出一般
greedy	adjective	/ˈɡriːdi/	古英语 grǣdig（贪食的、渴求的）← 原始日耳曼语 *grēduga-	wanting more of something than you need	盘子还没端稳他已经夹了三筷子，碗里堆得快掉出来，别人还没动手	贪吃的/贪心的/贪婪的	The greedy boy ate all the cake.|He was greedy for money and power.	reaching for more than one's share – 伸手要超过自己那一份	贪吃的：本义就在吃上，一口接一口|贪心的：不只吃，凡好处都想多占|贪婪的：书面里更重的说法，含贬
green	adjective / noun	/ɡriːn/	古英语 grēne（绿的、生的）← 原始日耳曼语 *grōni-，与 grow、grass 同源	of the colour of grass and leaves, or not yet ready or experienced	雨后新叶的那种颜色，看久了眼睛松快；掰下一枚咬一口，酸得直皱脸	绿色的/未熟的/新手的/环保的	The hills turned green in spring.|These bananas are still green.	the colour of new growth, and what is still new – 刚长出来的那种颜色，以及还没长成的状态	绿色的：草木新生时的那种颜色|未熟的：果子还是这颜色，没到能吃的时候|新手的：人也还没长成，事情做不周全|环保的：与草木一边的那些做法，后起用法
greet	verb	/ɡriːt/	古英语 grētan（接触、招呼、迎面而来）← 西日耳曼语 *grōtjan，更早词源不明	to say hello to someone when you meet them	门一开他先伸出手，同时点了下头，把人往屋里让	问候/迎接/迎面而来	She greeted us at the door.|The news was greeted with silence.	making first contact when two meet – 两人一碰面时的第一下接上	问候：见面先说的那一句|迎接：人到了，出门去接住他|迎面而来：景象、消息也这样撞上你，被动式常用
grey	adjective / noun	/ɡreɪ/	古英语 grǣg（灰色的）← 原始日耳曼语 *grēwaz	of a colour between black and white, or dull and without interest	连着下了五天雨，天和楼和路一个颜色，分不出边界在哪儿	灰色的/灰白的/沉闷的	The sky was grey all morning.|His hair turned grey early.	the colour with no black and no white left – 黑白都退掉之后剩下的那个色	灰色的：黑白之间那一档颜色|灰白的：偏白那一头，头发常这么说|沉闷的：日子像这颜色，没有起伏


