ink	noun	/ɪŋk/	古法语 enque ← 晚期拉丁语 encaustum ← 希腊语 enkauston（烧灼上色的颜料）	a coloured liquid used for writing or printing	笔尖在纸上停了一秒，纸背就洇出一小团黑，边缘毛毛的	墨水/油墨	The pen ran out of ink halfway.|Ink soaked through to the next page.	dark fluid that leaves a mark – 留下痕迹的深色液体	墨水：灌在笔里、写字时流出来的那种|油墨：印刷机滚筒上抹的那层稠的
jug	noun	/dʒʌɡ/	十六世纪英语 jug，可能来自女子名 Joan 的昵称 Jug，更早词源不明	a deep container with a handle and a lip for pouring	侧面一个把手，口沿捏出一个尖，倒的时候水线细而不散	壶/罐/一壶的量	She filled the jug with cold water.|He poured milk from a china jug.	a handled vessel shaped to pour – 带把手、口上做了尖的盛器	壶：有把有尖、专为往外倒设计的器皿|罐：同一只器皿当盛器用时的叫法|一壶的量：以它装满为准算出来的分量
juice	noun	/dʒuːs/	古法语 jus（汤汁、肉汁）← 拉丁语 jus（汤、羹）；与表示「法」的同形拉丁词 jus 无关	the liquid pressed out of fruit, vegetables or meat	半个橙子在压盘上转了一圈，底下积出小半杯黄水	果汁/汁液/电力	She drank a glass of orange juice.|The meat juices ran onto the plate.	the liquid squeezed out of something – 从一样东西里挤出来的水	果汁：从水果里压出来的那种饮料|汁液：从肉或菜里流出来的同一样东西|电力：口语里把电当成流动的汁水说
jump	verb / noun	/dʒʌmp/	十六世纪英语 jump，可能出自拟声，更早词源不明	to push off the ground with both feet, or a sudden rise	屈膝一蹲，两脚同时离地，人整个越过了那道沟	跳/跳跃/猛增	He jumped over the low wall.|Prices jumped by thirty percent.	pushing off and leaving the ground – 蹬一下让自己离开地面	跳：蹬地起来落到别处|跳跃：这个离地动作本身|猛增：数字像被蹬了一下那样忽然上去
jungle	noun	/ˈdʒʌŋɡl/	印地语 jangal（荒野、林莽）← 梵语 jāṅgala（干旱荒地）	dense tropical forest where growth blocks the way	藤条缠成网，两步之外看不见路，脚下全是烂叶和积水	丛林/热带雨林/毫无秩序的乱局	They cut a path through the jungle.|The city is a jungle after dark.	growth so thick it closes the path – 长得密到把路封住	丛林：树和藤缠在一起走不通的地方|热带雨林：这种地方里又湿又热的那一类|毫无秩序的乱局：像那里头一样，没有路也没有规矩
junior	adjective / noun	/ˈdʒuːniə/	拉丁语 junior（较年轻的），是 juvenis（年轻的）的比较级	lower in rank, age or length of service	会议室最靠门那把椅子，坐着进来才半年的那个人	较年轻的/资历浅的/下级	He is junior to me by two years.|A junior clerk handled the file.	the one with fewer years behind him – 年头攒得比别人少的那个	较年轻的：岁数上比另一个小|资历浅的：在这里待的年头比别人短|下级：因此在排位上处在下面那一层
junk	noun	/dʒʌŋk/	中古英语 jonke（旧缆绳、废索），更早词源不明	things kept but no longer of any use	车库角落堆到房梁，坏台灯压着缺腿的椅子，谁也不动它	废物/破烂/垃圾食品	He cleared the junk out of the garage.|Stop eating junk before dinner.	kept things that no longer serve – 留着却派不上用场的东西	废物：坏了或过时、留着没用的东西|破烂：这些东西堆在一起时的说法|垃圾食品：吃了不顶事、只占地方的那类吃的
juvenile	adjective / noun	/ˈdʒuːvənaɪl/	拉丁语 juvenilis ← juvenis（年轻的）	relating to young people, or childish in behaviour	法庭把他安排在另一间，桌椅矮一号，旁听席只坐着家长	少年的/未成年的/幼稚的	The court has a juvenile section.|His juvenile jokes annoyed everyone.	still in the years before grown – 还在长成之前那几年里	少年的：岁数还没到成人那一段的|未成年的：法律上按这一段来算的身份|幼稚的：岁数够了，做法还停在那一段
keen	adjective	/kiːn/	古英语 cēne（勇敢的、锐利的）← 原始日耳曼语 *kōniz（有本事的、大胆的）	very eager, or sharp in perception	他比约定早到二十分钟，工具都摊开了，一直往门口看	热切的/敏锐的/锋利的	She is keen to start the work.|He has a keen sense of smell.	an edge that goes straight in – 一道能直接切进去的锋	热切的：劲头足，往前顶着要做|敏锐的：感觉像刃口那样细，别人察觉不到的他能|锋利的：刀刃本身磨到能一下切进去
keep	verb	/kiːp/	古英语 cēpan（留意、守住），更早词源不明，原始日耳曼语词形无定论	to hold on to something, or to stay in a state	那把钥匙在他抽屉里放了二十年，没配过第二把，也没给过谁	保持/保存/饲养	Please keep the receipt.|He kept walking despite the rain.	holding a thing so it does not slip – 攥住一样东西不让它走	保持：让状态一直不变，不断掉|保存：把东西留在手里不散不丢|饲养：把牲口留在身边一直养着
kettle	noun	/ˈketl/	古英语 cetel ← 早期借入的拉丁语 catillus（小盆）← catinus（深盆）	a covered metal pot with a spout for boiling water	灶上那只金属容器盖子开始跳，嘴里喷出一道白汽，声音越来越尖	水壶/烧水壶	Put the kettle on for tea.|The kettle whistled on the stove.	a spouted pot made for boiling – 专为烧开水做的带嘴容器	水壶：烧水时坐在灶上的那只带嘴器皿|烧水壶：同一样东西，强调它是用来把水烧开的
key	noun / adjective	/kiː/	古英语 cǣg（开锁之物），更早词源不明	a shaped piece for opening a lock, or something that makes a thing work	一小片金属，边上啃出几个缺口，插进去一转，里头咔一声	钥匙/关键/键	He lost the key to the back door.|Timing is the key to this dish.	the shaped bit that lets you in – 让你进得去的那片带齿的东西	钥匙：插进锁孔、一转就开的那片金属|关键：整件事的锁眼，对上它就通|键：手指按下去就起作用的那一格
keyboard	noun	/ˈkiːbɔːd/	中古英语 key（键）+ board（板），字面「排满键的板子」	a set of keys arranged on a board for typing or playing	一整块板子上排满方格，十指落下去噼啪响成一片	键盘/琴键	She spilled coffee on her keyboard.|He runs his hands over the keyboard.	a board laid out with keys to press – 一板子按键排在一起	键盘：敲字用的那一整排方格|琴键：乐器上排成一行、按下出声的那些
kick	verb / noun	/kɪk/	中古英语 kiken，可能出自古诺尔斯语，更早词源不明	to strike with the foot, or a sudden thrust of the leg	他后腿一甩，鞋尖砸在球上，球贴着草皮蹿了出去	踢/踹/后坐力	He kicked the ball into the net.|The rifle kicks against your shoulder.	driving something away with the foot – 用脚把东西送出去	踢：脚扫出去打在东西上|踹：同一动作使足了劲，直着送出|后坐力：枪像被脚蹬了一下那样往后顶
