stocking	由 stock（此处指套在腿上的筒状物）＋ -ing 构成；stock 一支 ← 古英语 stocc（树干、桩）← 原始日耳曼语 *stukkaz	a close-fitting covering for the foot and leg, worn under clothes	长筒袜/丝袜	She tore a stocking on the chair leg.|He hung a stocking by the fireplace.	a soft tube pulled up over the leg – 套在腿上的一截软筒	长筒袜：从脚一直套到膝上的那种|丝袜：同一形制，用极薄的料子织成			
straightforward	由 straight ＋ forward 复合而成；straight 一支 ← 古英语 streċċan（拉伸）的过去分词	easy to understand or do, with nothing hidden or complicated	直截了当的/简单明了的	The instructions were straightforward enough.|He gave a straightforward account of the night.	going right ahead with nothing in the way – 一路朝前，中间不设弯绕	直截了当的：说话做事不铺垫、不迂回|简单明了的：事情本身没有复杂处，一看就懂			
strange	中古英语 straunge ← 古法语 estrange ← 拉丁语 extraneus（外面的）← extra（外部）	unusual or unfamiliar in a way that is hard to explain	奇怪的/陌生的/不寻常的	A strange noise came from the attic.|The town felt strange after ten years away.	coming from outside what one knows – 来自自己所知之外	奇怪的：与常理不合，说不上来哪里不对|陌生的：不在自己熟悉的范围内|不寻常的：出现的频率与常态不符			
stranger	中古英语 straunger ← 古法语 estrangier（外来的）← estrange ← 拉丁语 extraneus（外面的）← extra（外部）	someone you do not know	陌生人/外来者	Do not open the door to strangers.|In this village a stranger is noticed at once.	a person from outside the circle one knows – 自己所识之外的那个人	陌生人：没打过交道、认不出的人|外来者：来自本地之外的人，重点在来处			
strap	英语 strap 是 strope（挽具上的环）的变体 ← 古英语 stropp（带、皮条）与古法语 estrope ← 拉丁语 stroppus ← 希腊语 strophos（绳）← strepho（扭、拧）	a narrow band of leather or cloth used to fasten or carry something	带子/绑带/捆扎	The bag hung from a leather strap.|Strap the load down before you drive.	a narrow band drawn tight to hold something in place – 收紧后把东西固定住的一条窄带	带子：狭长柔韧的一条|绑带：专用来收紧固定的那种|捆扎：把这条带收紧固定这个动作			
strategy	源自拉丁语 strategia ← 希腊语 strategia（将帅之职、统帅术）← strategos（将军）← stratos（军队）＋ ago（率领）	a general plan made to reach a goal over time	战略/策略/谋划	The company changed its pricing strategy.|We need a strategy for the next election.	a plan that decides the whole course before the moves – 先定下全局走法，再落每一步	战略：全局层面的长远打算|策略：为达成某事采用的具体路数|谋划：拟定这套打算这个过程			
straw	中古英语 straw ← 古英语 strēaw ← 原始日耳曼语 *strawą（撒开之物、秸秆）← 原始印欧语 *strew-（铺撒）	the dried stalks of grain, or a thin tube for drinking	稻草/麦秆/吸管	The barn floor was covered with straw.|She drank the juice through a straw.	a dry hollow stalk left after the grain is taken – 谷粒收走后剩下的那截干空茎	稻草：稻子脱粒后剩的干茎|麦秆：麦子脱粒后剩的干茎|吸管：形状与那截空茎一样，故借其名			
strawberry	中古英语 strawberie ← 古英语 strēawberġe，即 straw ＋ berry；得名或因野生植株靠草秆状匍匐茎蔓生，或因旧时采摘时把果子串在草秆上	a small soft red fruit with tiny seeds on its surface	草莓	We picked strawberries all morning.|She made a strawberry tart for dessert.	a soft red fruit that carries its seeds outside – 红软的果子，籽长在外面				
stream	中古英语 streem ← 古英语 strēam ← 原始日耳曼语 *straumaz（水流）← 原始印欧语 *srew-（流动）	a small narrow river, or a continuous flow of something	小溪/水流/一连串	A stream ran behind the cottage.|A stream of visitors arrived all afternoon.	water moving steadily along one course – 顺着一条路不断流下去的水	小溪：窄而浅的活水|水流：流动着的那股水本身|一连串：把「不断流过」用到人或事上，接连不停			
streamline	由 stream ＋ line 构成；stream 一支 ← 古英语 strēam（水流）← 原始日耳曼语 *straumaz	to shape something so that it moves through air or water with least resistance, or to make a system simpler	流线型/精简/使顺畅	The new train has a streamlined nose.|They streamlined the approval process.	shaped so that what flows past meets no obstruction – 削到让流过的东西碰不上阻挡	流线型：外形削得平顺，阻力最小|精简：把流程上多余的凸起去掉|使顺畅：去掉阻挡后，过程走得不再卡顿			
street	中古英语 strete ← 古英语 strēt ← 晚期拉丁语 (via) strata（铺过的路）← sternō（铺开、摊开）；经原始西日耳曼语 *strātu 早期传入	a public road in a town with buildings along it	街道/马路	They live on a quiet street.|Cross the street at the lights.	a paved way with buildings standing along both sides – 铺过的路，两侧立着房屋	街道：城镇中两侧有房的路|马路：同一条路，偏重供车通行那一面			
strength	中古英语 strengthe ← 古英语 strengþu ← 原始西日耳曼语 *strangiþu，即 strong ＋ 抽象名词后缀 -th	the quality of being physically powerful or hard to break	力量/强度/长处	He lacked the strength to lift the crate.|Test the strength of the rope first.	how much force something can put out or take – 能发出多大力，或能受住多大力	力量：能发出的力有多大|强度：能承住多少而不坏|长处：把「强的那一面」用到人的能力上			
strengthen	由 strength ＋ -en 构成；中古英语已有 strengthen（12 世纪），-en 原是不定式词尾，后被重解为使动后缀	to make something stronger or more able to hold up	加强/增强/巩固	Steel plates strengthened the old bridge.|Regular exercise strengthens the heart muscle.	to add to what something can put out or take – 给它加上更多能发的力或能受的力	加强：从外面添上一层，使更能承受|增强：使原有的能力变大|巩固：把已得的稳住，不让退回去			
strenuous	源自拉丁语 strenuus（敏捷的、奋发的）	needing great effort and energy	费力的/奋力的/紧张的	Avoid strenuous exercise for a week.|They made strenuous efforts to reach an agreement.	taking so much effort that it drains you – 费的力大到把人耗空	费力的：做起来耗力气|奋力的：把力气全使出来的那种|紧张的：耗得紧、松不下来			
stress	中古英语 stresse，截自 destresse ← 古法语 destrecier ← 拉丁语 distringō（拉扯开）；并与另一支 estrece（狭窄）← 拉丁语 strictus（窄的）合流	the force pressing on something, or the strain a person feels under pressure	压力/重音/强调	The beam bent under the stress.|He has been under a lot of stress at work.	a force bearing down that shows up as strain – 压上来的力，显出来就是受不住的样子	压力：物体或人身上承的那份力|重音：读音上加重的那一处，同是把力落上去|强调：把话里的力落在某一点上			
stretch	中古英语 strecchen ← 古英语 streċċan（拉长、伸展）← 原始西日耳曼语 *strakkjan（拉紧）← 原始印欧语 *(s)treg-（僵、挺）	to pull something so it becomes longer or wider	伸展/展开/一段	She stretched her arms above her head.|The road stretches for twenty miles.	to draw something out so it takes up more length – 把它抽长，占的长度变多	伸展：把肢体或物件抽长|展开：从收着的状态铺到更大范围|一段：抽长后所占的那一截，如一段路			
stride	中古英语 striden ← 古英语 strīdan（跨步）← 原始西日耳曼语 *strīdan ← 原始日耳曼语 *strīdaną	to walk with long steps	大步走/迈步/进展	He strode across the room without a word.|The company has made great strides this year.	walking with each step reaching further than usual – 每一步都比平常伸得远	大步走：步子拉得开，走得快|迈步：单看跨出去的那一步|进展：把「一步跨得远」用到事情的推进上			
strife	中古英语 strif ← 古法语 estrif ← estriver（争斗）← 法兰克语 *strīban（争）	angry disagreement between people or groups	争斗/冲突/纷争	Years of strife divided the two families.|The region has known little but strife.	two sides pushing against each other without yielding – 两边互相顶着，谁也不退	争斗：双方动起手来相争|冲突：两边利益或主张顶上了|纷争：争的头绪多而乱，一时理不开			
strike	中古英语 stryken ← 古英语 strīcan ← 原始西日耳曼语 *strīkan ← 原始印欧语 *streyg-（抚、擦、压）	to hit something with force	打击/撞击/罢工	The hammer struck the nail squarely.|Workers voted to strike for higher pay.	to bring one thing hard against another – 让一物重重碰上另一物	打击：用力打上去|撞击：两物相碰的那一下|罢工：工人集体停手，如同对雇主打出的一击			
striking	由 strike ＋ -ing 构成，取「一下打中人眼」之意；strike 一支 ← 古英语 strīcan（抚、擦、击）	so noticeable that it draws attention at once	醒目的/显著的/引人注目的	She wore a striking red coat.|There is a striking difference between the two drafts.	standing out so sharply that the eye is caught at once – 跳出来得厉害，眼睛一下就被抓住	醒目的：在周围里格外扎眼|显著的：差别或特点大到不容忽视|引人注目的：使旁人不由自主看过来			
