pavement	中古英语 pament ← 盎格鲁诺曼语 pavement ← 拉丁语 pavīmentum（夯实的地面），源自 pavīre（夯、踏实）	a paved path at the side of a road	人行道	They walked along the narrow pavement.|Rain pooled on the uneven pavement.	a beaten flat surface for walking – 夯平铺硬供人走的面		街边铺着方砖的窄条，与车道之间有一道石沿		
peanut	由 pea（豌豆）＋ nut（坚果）复合而成，可能是 pinda 一词的俗解	a small oily seed that grows in a shell underground	花生	He shelled peanuts while watching the game.|This sauce contains crushed peanuts.	an underground seed in a brittle shell – 长在地下、外裹脆壳的籽实		带纹路的浅褐硬壳一掰两半，里面躺着两粒红皮仁		
peasant	中古英语 paissaunt ← 盎格鲁诺曼语 paisant ← 古法语 païsan（乡下人），源自 païs（地方）← 拉丁语 pāgus（乡野）	a poor farmer who works a small piece of land	农民	Peasants carried grain to the market.|A peasant family farmed this hillside.	a poor worker of the countryside – 乡野间耕作的贫苦人		粗布衣的人弯腰在田垄间除草，草帽压得很低		
pebble	中古英语 pibel ← 古英语 papolstān（卵石），前一半 *papol 来源不明	a small smooth stone found on a beach or riverbed	鹅卵石	She picked up a smooth grey pebble.|Pebbles crunched under our heavy boots.	a small stone rounded by water – 被水磨圆的小石		河床上一层圆滑的小石子，被水冲得没有棱角		
peculiar	拉丁语 pecūliāris（属于私产的）← pecūlium（私产）← pecus（牲畜）	strange or unusual, or belonging only to one thing	奇怪的/独有的	There was a peculiar smell in the hall.|This custom is peculiar to that village.	set apart from all the rest – 与其余明显分开的	奇怪的：与常见的明显不同|独有的：只属于某一方而非旁的	一排相同的杯子里有一只形状明显不同，被单独摆出		
pencil	盎格鲁诺曼语与古法语 pincil（细画笔）← 拉丁语 pēnicillum，为 pēniculus（小刷）的指小形	a thin stick used for writing or drawing	铅笔	He sharpened his pencil before the test.|Draw the line in pencil first.	a thin stick that leaves a grey mark – 能留下灰痕的细杆		木杆中央嵌着灰黑细芯，一端削出锥形尖		
penetrate	拉丁语 penētrātus，为 penētrō（置于内、刺入）的过去分词，与 penes（在内）有关	to go into or through something	穿透/渗入	The needle penetrated the thick fabric.|Light barely penetrates the dense canopy.	to get inside and pass through – 进到里面并穿过去	穿透：从一面贯穿到另一面|渗入：慢慢进到内部	钉尖穿过木板从另一面露出一截		
people	中古英语 puple ← 盎格鲁诺曼语 people ← 古法语 pueple ← 拉丁语 populus（民众）	human beings in general, or the members of a nation	人们/民族	Many people waited outside the hall.|The people chose a new leader.	human beings taken together – 合起来看的众人	人们：泛指许多人|民族：同属一国或一族的全体	广场上密密站着许多身影，衣着各不相同		
pepper	古英语 piper ← 拉丁语 piper ← 希腊语 peperi，更早来自印度语言（梵语 pippali 长胡椒）	a hot-tasting powder made from dried berries	胡椒	She added salt and pepper to the soup.|Black pepper grows on climbing vines.	a pungent spice ground from dried berries – 干果磨成的辛辣香料		小磨旋转，深色颗粒碎成粉末落在菜面上		
per	拉丁语 per（穿过、在…期间）← 原始印欧语 *per	for each one of something	每/每一	The rate is ten pounds per hour.|Output rose per worker this quarter.	taken for each single unit – 按每一个单位计	每：按单个计算|每一：逐个地分摊到各个	价目牌上写着单位重量与对应的一个数字		
percentage	由 percent ＋ -age 构成；percent ← 拉丁语 per centum（每一百）	an amount expressed as a part of one hundred	百分比	A small percentage of seeds never sprout.|The percentage rose by three points.	a share reckoned against one hundred – 以一百为底算出的份额		圆饼被分成一百小格，其中一块被涂上颜色		
perfume	借自中古法语 parfum／perfum（熏香）	a liquid with a sweet smell worn on the skin, or a pleasant smell	香水/香味	She wore a light perfume that evening.|The perfume of cut grass filled the yard.	a scent carried through the air – 在空气里散开的气味	香水：涂在身上的芳香液体|香味：好闻的气味本身	小玻璃瓶按下喷头，细雾散开后气味留在手腕		
perhaps	中古英语 perhappes，由 per-（凭）＋ hap（机遇）＋ -s 构成，仿 perchance 而成	used to say that something is possible but not certain	也许	Perhaps she forgot about the meeting.|We could leave early, perhaps at noon.	possible as it may chance – 也许如此，凭机遇而定		说话的人摊开手，眉头一动没有给出定论	/pəˈhæps/	
period	中古英语 periode ← 中古法语 periode ← 中世纪拉丁语 periodus ← 希腊语 periodos（绕行一周），由 peri-（环绕）＋ hodos（路）构成	a length of time, or the dot ending a sentence	时期/句号	The building stood empty for a long period.|Add a period at the end.	a stretch that comes round and closes – 走完一圈合上的一段	时期：有起止的一段时间|句号：把句子合上的那个点	时间轴上一段被两条竖线夹出，末端点着一个小圆点		
periodical	由 period ＋ -ical 构成	a magazine that comes out at regular intervals	期刊/周期性的	The library keeps back issues of each periodical.|She subscribes to two scientific periodicals.	something appearing at regular intervals – 按固定间隔出现的	期刊：按期出版的刊物|周期性的：每隔固定时段就出现一次	书架上同一刊名的册子按月份排开，封面只改期号		noun / adjective
permeate	拉丁语 permeātus，为 permeō（穿行而过）的过去分词，由 per-（穿过）＋ meāre（行走）构成	to spread through every part of something	渗透/弥漫	The smell permeated the entire building.|New ideas permeated the whole department.	to pass right through every part – 穿行进每一处	渗透：一点点进入并布满内部|弥漫：气味或气氛充满整个空间	一滴墨落进清水，颜色慢慢铺满整个杯子		
